CSDUID,CSDNAME,CSDTYPE,OMEC_LAT,OMEC_LON,OMEC_RAD_M
5909806,Kopchitchin 2,IRI,49.869761853456545,-121.45287518224977,1176.3154304341065
5909807,Ohamil 1,IRI,49.33805811527526,-121.60808798565157,1015.019666674811
5909808,Puckatholetchin 11,IRI,49.444955698224646,-121.43461826422536,1492.4731649611726
5909809,Saddle Rock 9,IRI,49.631190403037586,-121.39542825924589,571.2348934564843
5909810,Lukseetsissum 9,IRI,49.35135632382353,-121.61475196514888,598.9188217924526
5909812,Schkam 2,IRI,49.395269500879735,-121.4546729941359,750.3054629318693
5909814,Skawahlook 1,IRI,49.36229131419861,-121.59003048406137,593.0342195092154
5909815,Speyum 3,IRI,49.94137121180277,-121.47385274861348,1608.100571531461
5909816,Spuzzum 1,IRI,49.65931929814902,-121.41334789076659,873.7098395411227
5909817,Tuckkwiowhum 1,IRI,49.83592389183684,-121.43226691030254,568.2512306731816
5909818,Yale Town 1,IRI,49.56163962796548,-121.42338629757968,268.7653580501721
5909819,Kahmoose 4,IRI,49.962264942881234,-121.48505997190121,341.53102522756956
5909821,Kwawkwawapilt 6,IRI,49.164142585795105,-121.97951396064275,675.4990268933161
5909824,Skwah 4,IRI,49.17665351233765,-121.97659369299112,1024.5090374844528
5909825,Skwali 3,IRI,49.18647759034876,-121.96396415969957,923.6704420384774
5909826,Skway 5,IRI,49.16891397951913,-121.99436158064913,1240.2154407184578
5909827,Soowahlie 14,IRI,49.0836971698653,-121.95720845906197,1561.7459052429394
5909830,Tzeachten 13,IRI,49.111107332941245,-121.94584932648215,1450.2376708274433
5909831,Yakweakwioose 12,IRI,49.13369431790974,-121.93640108156363,339.45275197935024
5909832,Seabird Island,IRI,49.2781140385639,-121.69820353450858,4455.654498033602
5909833,Scowlitz 1,IRI,49.233348685285826,-121.93693044834541,1188.218392630604
5909834,Tseatah 2,IRI,49.21703141404932,-121.75757547028482,827.7018216646359
5909835,Aitchelitch 9,IRI,49.14996654833184,-121.99105710676173,389.54022386002737
5909836,Boston Bar 1A,IRI,49.828441136695865,-121.42904774217402,669.3159442803477
5909837,Cheam 1,IRI,49.19705157626854,-121.76836019455172,1778.8562812917726
5909838,Schelowat 1,IRI,49.177655797527926,-121.83308498239872,813.11882089802
5909839,Chehalis 5,IRI,49.29487413347762,-121.90910365974533,2586.9276707851413
5909841,Stullawheets 8,IRI,49.470802747951765,-121.42542810913689,558.1920306887367
5909842,Douglas 8,IRI,49.758013373434515,-122.1699894190869,2408.571242726953
5909843,Peters 1,IRI,49.301534995159564,-121.65535139950686,941.7600014162664
5909844,Popkum 1,IRI,49.20758234228922,-121.71879264684296,973.5078332383227
5909845,Skookumchuck 4,IRI,49.943944451057504,-122.41255604688351,1212.8578516301345
5909847,Bucktum 4,IRI,49.91217620634558,-121.44617775988034,570.5329360959432
5909848,Tipella 7,IRI,49.77419671492217,-122.22169835716309,43.972398959109334
5909850,Boothroyd 13,IRI,49.98916258181048,-121.49266710715395,788.2322037370541
5909851,Ruby Creek 2,IRI,49.355422194446845,-121.60899120935227,436.3577406421814
5909852,Paqulh,IRI,50.122076779081745,-122.52751826488758,428.10256481718875
5909856,Langley 2,IRI,49.187284481154684,-122.41846410562734,575.7249018434061
5909875,Q'alatkú7em,IRI,50.05197084559761,-122.53814137696355,474.8565408344575
5909876,Albert Flat 5,IRI,49.52258742861483,-121.42017827076006,885.4622909391849
5909877,Upper Sumas 6,IRI,49.050974279676495,-122.19727687859417,1280.1966175909133
5909878,Matsqui Main 2,IRI,49.11155179608258,-122.3491757760577,1154.0463372862248
5909879,Holachten 8,IRI,49.207757946427655,-122.0240809006243,1308.5155131429458
5909880,Lakahahmen 11,IRI,49.18462719249414,-122.07620355493475,515.0660753420904
5909881,Skweahm 10,IRI,49.17147061079569,-122.08303751444173,1132.584983541475
5909882,Squawkum Creek 3,IRI,49.238635698673285,-121.99714712815428,1434.4342103936635
5909883,Sachteen,IRI,49.988154184329886,-122.45235985145536,625.7205205298467
5909884,Skowkale,IRI,49.137705287761264,-121.94384679465364,681.1600024201033
5909885,Squiaala,IRI,49.15916504369573,-121.98483144507806,1697.8630472524046
5915001,Langley,DM,49.0960870794399,-122.57045732833276,13228.619414317087
5915002,Langley,CY,49.098810293951146,-122.66098048646498,2166.0758177754483
5915004,Surrey,CY,49.1110172679701,-122.78122885862373,14117.905439375223
5915007,White Rock,CY,49.02390243969902,-122.8123466536515,2552.3403512922646
5915011,Delta,CY,49.10603731965481,-123.04233240027364,13628.647131158139
5915015,Richmond,CY,49.19885424087903,-123.12357172118189,13126.073771621102
5915020,Metro Vancouver A,RDA,49.38986789599052,-122.87051677144112,32190.333475425705
5915022,Vancouver,CY,49.24741084982125,-123.11657304756925,8507.743509321806
5915025,Burnaby,CY,49.24417502420583,-122.95955823664744,7166.264997416397
5915029,New Westminster,CY,49.20396029104818,-122.91705783421006,4320.566869361966
5915034,Coquitlam,CY,49.28574119996585,-122.74716648509907,11864.342130890755
5915036,Belcarra,VL,49.3301728509592,-122.89594537691853,3173.9719846057183
5915038,Anmore,VL,49.340847281168124,-122.84828092923262,4697.308505975167
5915039,Port Coquitlam,CY,49.247872345190245,-122.75465683920605,4830.560395770079
5915043,Port Moody,CY,49.29838594165997,-122.86873435451274,4492.664829755892
5915046,North Vancouver,DM,49.36368963381277,-123.00431396998006,10483.595238990361
5915051,North Vancouver,CY,49.31463625577867,-123.07036031810954,2935.3488195822592
5915055,West Vancouver,DM,49.365343823919616,-123.19754648403507,7010.8767257772915
5915062,Bowen Island,IM,49.3788655163238,-123.36967552873202,6263.647645480993
5915065,Lions Bay,VL,49.46271554341431,-123.23582162805288,1638.016907047411
5915070,Pitt Meadows,CY,49.28465372910393,-122.66498686894275,9949.18208415116
5915075,Maple Ridge,CY,49.26478147535913,-122.52516425718657,12883.01346712244
5915801,Semiahmoo,IRI,49.011481604375824,-122.7731440736127,1309.661320687366
5915802,Tsawwassen,TWL,49.03900851310927,-123.10569712260785,2518.661140088599
5915803,Musqueam 2,IRI,49.23001354044718,-123.20571541778787,1455.32587118095
5915804,Coquitlam 2,IRI,49.247571282199836,-122.79405896033973,707.5753844530457
5915805,Coquitlam 1,IRI,49.230519514195535,-122.80517120722574,156.94461203277325
5915806,Burrard Inlet 3,IRI,49.308010766565594,-122.98022557299245,963.3708770001385
5915807,Mission 1,IRI,49.31604023297203,-123.08728480631034,458.04741669182096
5915808,Capilano 5,IRI,49.32100112654627,-123.13446805698315,1093.7368570968636
5915809,Barnston Island 3,IRI,49.18809747748653,-122.6952000607903,570.0084960968979
5915810,Musqueam 4,IRI,49.0668158119842,-123.12503243965476,531.2908792175804
5915811,Seymour Creek 2,IRI,49.303563024133624,-123.02485158276767,1076.9593419650862
5915813,Katzie 2,IRI,49.19458306518156,-122.65253532660697,425.7333849552847
5915816,McMillan Island 6,IRI,49.176008853924166,-122.56430864280317,1400.0806828987866
5915825,Matsqui 4,IRI,49.00525997185376,-122.47641699811794,397.2921941928368
5915830,Katzie 1,IRI,49.20296598699356,-122.67344915412976,459.89095453000874
5915840,Whonnock 1,IRI,49.175275485656925,-122.4607621724168,489.0483574060077
5917005,North Saanich,DM,48.652414008595365,-123.44086401911281,5468.830386242152
5917010,Sidney,T,48.65265472981475,-123.41118190925366,1971.6691811245908
5917015,Central Saanich,DM,48.581524962788976,-123.4217478257285,5427.140887714195
5917021,Saanich,DM,48.503884162269586,-123.36870510424012,9651.648855450878
5917027,Saltspring Island,RDA,48.832793532181675,-123.52606956086291,13602.852233939182
5917029,Southern Gulf Islands,RDA,48.79975812928054,-123.38586466567266,31754.725668169336
5917030,Oak Bay,DM,48.430832453560164,-123.31261407037552,4097.607955023801
5917034,Victoria,CY,48.4292938616668,-123.356754216252,3052.629800322857
5917040,Esquimalt,DM,48.43432844844768,-123.41376547340423,2079.524919546852
5917041,Colwood,CY,48.42842837337749,-123.48450469620049,3791.246688385559
5917042,Metchosin,DM,48.37422329591027,-123.57677471581115,7570.549360092372
5917044,Langford,CY,48.45529069984407,-123.53753501284022,6031.128964939468
5917047,View Royal,T,48.465598212545416,-123.46301420728498,3690.250715803366
5917049,Highlands,DM,48.516452348941506,-123.50909788937227,4769.4321271162535
5917052,Sooke,DM,48.408550342447526,-123.68936854346673,8424.674550720694
5917054,Juan de Fuca (Part 1),RDA,48.42440840306635,-123.63962802900136,30839.621546744627
5917056,Juan de Fuca (Part 2),RDA,48.565733057712606,-124.05735087356051,32869.33583526769
5917801,Cole Bay 3,IRI,48.62272576568058,-123.45752571896544,1278.4971334466381
5917802,Union Bay 4,IRI,48.664493360593475,-123.45112801651351,554.9919514458942
5917803,East Saanich 2,IRI,48.58848137948098,-123.38735910188046,1346.2354436939265
5917804,South Saanich 1,IRI,48.58388299983224,-123.45572469320939,1169.2661178710712
5917805,Galiano Island 9,IRI,49.007438661740274,-123.58612132732887,604.3292020924991
5917809,Becher Bay 1,IRI,48.33876334781577,-123.5975936990569,1885.2923996523657
5917811,Esquimalt,IRI,48.44411879417721,-123.4308537989734,444.9336122991504
5917812,New Songhees 1A,IRI,48.44384808257069,-123.42458757805615,957.1241317394483
5917815,Gordon River 2,IRI,48.57573744023946,-124.40656233891133,1099.406123919882
5917819,T'Sou-ke,IRI,48.36624942722949,-123.74120519828524,4638.56054053389
5919008,North Cowichan,DM,48.848777226002504,-123.6858706209195,12078.90317780772
5919012,Duncan,CY,48.78028746914908,-123.70213716656141,1548.763703761067
5919013,Cowichan Valley D,RDA,48.759727110018424,-123.63020452655915,17930.520956401368
5919015,Cowichan Valley G,RDA,48.99953478105753,-124.00494110132806,30736.011066294595
5919016,Lake Cowichan,T,48.818580839123555,-124.05845112522775,4020.855249666262
5919017,Cowichan Valley H,RDA,49.01989661691037,-123.88975215106392,10711.740258750484
